,Score1,Score2,Reward
839,5.75,2.0,75.0
840,7.05,1.4,113.0
841,6.2,2.5,74.0
842,7.3,1.9,108.0
843,4.95,1.9,61.0
844,6.3,1.5,96.0
845,6.95,1.9,101.0
846,6.95,2.8,83.0
847,7.95,2.0,119.0
848,7.2,1.7,110.0
849,5.65,2.1,71.0
850,8.2,1.6,132.0
851,5.9,2.3,72.0
852,9.6,2.0,152.0
853,7.45,1.7,115.0
854,6.1,1.9,84.0
855,6.35,1.9,89.0
856,5.5,1.9,72.0
857,5.65,1.8,77.0
858,7.25,1.8,109.0
859,6.0,2.8,64.0
860,7.1,1.6,110.0
861,5.75,2.4,67.0
862,7.65,1.9,115.0
863,4.3,2.8,30.0
864,5.85,2.1,75.0
865,4.7,2.7,40.0
866,6.2,1.7,90.0
867,6.95,1.9,101.0
868,7.8,1.8,120.0
869,6.7,2.4,86.0
870,6.9,1.2,114.0
871,6.05,1.5,91.0
872,7.1,2.0,102.0
873,7.3,2.4,98.0
874,6.1,1.4,94.0
875,7.9,1.1,136.0
876,7.8,1.6,124.0
877,6.95,1.7,105.0
878,7.6,1.9,114.0
879,4.35,1.8,51.0
880,5.25,1.9,67.0
881,6.3,1.3,100.0
882,6.25,1.6,93.0
883,5.9,2.2,74.0
884,6.05,1.5,91.0
885,6.85,2.3,91.0
886,5.75,1.1,93.0
887,6.0,2.1,78.0
888,4.7,2.0,54.0
889,4.95,2.0,59.0
890,6.9,1.8,102.0
891,4.35,2.2,43.0
892,5.35,1.1,85.0
893,6.95,1.9,101.0
894,5.55,2.1,69.0
895,6.3,2.7,72.0
896,6.1,3.2,58.0
897,5.15,2.5,53.0
898,6.5,2.5,80.0
899,6.25,1.9,87.0
900,5.35,2.7,53.0
901,5.45,2.5,59.0
902,6.6,1.9,94.0
903,5.7,1.5,84.0
904,5.05,2.8,45.0
905,6.7,2.4,86.0
906,5.4,2.3,62.0
907,5.45,1.5,79.0
908,6.35,1.2,103.0
909,4.75,2.4,47.0
910,5.15,2.2,59.0
911,6.8,2.4,88.0
912,4.65,2.9,35.0
913,4.75,2.6,43.0
914,5.8,2.4,68.0
915,5.45,2.5,59.0
916,7.0,2.0,100.0
917,4.95,1.1,77.0
918,5.75,2.2,71.0
919,5.8,1.9,78.0
920,6.4,2.6,76.0
921,4.5,2.5,40.0
922,5.05,1.7,67.0
923,6.4,2.3,82.0
924,7.65,1.5,123.0
925,6.85,1.2,113.0
926,3.75,2.4,27.0
927,5.3,1.2,82.0
928,7.1,1.9,104.0
929,8.35,1.8,131.0
930,5.45,2.5,59.0
931,6.0,2.1,78.0
932,6.8,1.1,114.0
933,6.7,2.7,80.0
934,7.55,1.8,115.0
935,6.55,2.4,83.0
936,5.35,3.2,43.0
937,5.75,2.5,65.0
938,5.5,1.6,78.0
939,8.15,1.5,133.0
940,8.15,1.6,131.0
941,5.35,1.8,71.0
942,6.25,2.2,81.0
943,6.5,1.8,94.0
944,6.5,1.9,92.0
945,5.55,1.1,89.0
946,6.35,2.7,73.0
947,5.25,2.1,63.0
948,7.05,2.1,99.0
949,8.4,1.3,142.0
950,6.55,2.5,81.0
951,5.4,2.0,68.0
952,6.0,1.8,84.0
953,5.15,2.2,59.0
954,7.05,2.2,97.0
955,6.35,1.8,91.0
956,7.2,2.8,88.0
957,5.95,2.1,77.0
958,4.25,2.2,41.0
959,6.0,2.1,78.0
960,5.75,2.6,63.0
961,3.9,1.9,40.0
962,4.7,1.2,70.0
963,6.65,2.2,89.0
964,5.9,1.5,88.0
965,6.7,1.7,100.0
966,5.0,2.7,46.0
967,6.4,1.8,92.0
968,5.9,2.2,74.0
969,6.25,1.5,95.0
970,5.1,1.7,68.0
971,6.85,1.3,111.0
972,7.2,1.7,110.0
973,4.9,1.4,70.0
974,7.0,2.8,84.0
975,5.55,2.1,69.0
976,4.7,2.5,44.0
977,5.7,2.7,60.0
978,7.05,2.7,87.0
979,5.1,2.1,60.0
980,6.15,1.7,89.0
981,4.75,2.2,51.0
982,5.4,2.4,60.0
983,6.5,1.1,108.0
984,6.45,2.1,87.0
985,6.15,3.1,61.0
986,6.15,1.1,101.0
987,8.45,1.8,133.0
988,3.85,3.3,11.0
989,8.85,2.3,131.0
990,5.15,2.0,63.0
991,4.7,3.4,26.0
992,6.05,2.2,77.0
993,5.2,2.0,64.0
994,5.9,2.5,68.0
995,4.4,2.7,34.0
996,4.9,1.2,74.0
997,5.4,1.1,86.0
998,5.8,1.8,80.0
999,6.55,1.9,93.0
