DownAndDistance,Yardline,Expected Points Added (EPA)
2-14,23,1.24374
1-8,72,0.750607
2-7,78,0.830348
2-8,49,0.945771
1-14,49,0.889172
2-6,83,0.819282
1-4,72,1.53618
1-2,72,2.10393
3-3,16,2.16106
3-17,61,0.0789469
3-19,85,0.0141955
3-3,29,2.07965
3-17,6,0
3-19,80,0.0120939
3-16,83,0.0638615
3-5,83,1.1007
4-16,84,0.0414183
4-12,87,0.10787
4-9,88,0.267616
4-5,84,0.956122
2-16,24,0.687303
4-3,83,1.04572
2-16,6,0
4-3,81,0.872722
3-15,59,0.298398
4-7,88,0.440597
2-20,79,0.0338919
1-19,71,0.0502206
1-1,73,2.25633
1-9,5,0
2-18,77,0.189663
1-13,71,0.337664
4-15,89,0.133937
1-12,71,0.626241
2-18,19,0.248226
1-9,71,0.701822
1-11,3,0
4-10,28,0.463956
2-14,24,0.966557
1-8,71,0.721467
1-14,51,0.558576
2-8,63,0.73979
2-6,81,0.847791
1-14,78,0.312548
2-8,52,0.850886
2-6,84,0.743339
4-20,57,0.0125528
2-5,74,1.27307
4-20,50,0.0079159
2-5,81,1.16643
1-4,71,1.57696
1-2,71,1.93328
1-1,71,2.34927
3-3,17,2.2074
3-17,58,0.102693
3-19,84,0.0173704
3-13,80,0.156179
3-13,81,0.155365
3-13,79,0.226823
3-14,70,0.17058
2-19,49,0.10529
3-6,81,0.74623
4-16,78,0.0300713
4-16,83,0.0488233
3-12,65,0.482233
4-14,82,0.070268
4-13,80,0.0796141
4-12,86,0.205811
4-9,84,0.273831
4-9,87,0.304434
2-16,25,0.787212
4-3,82,0.992287
4-1,83,1.68323
4-1,84,1.61144
1-19,70,0.0657325
1-1,72,2.32614
1-9,4,0
2-18,76,0.187897
2-15,78,0.235759
1-13,70,0.325941
2-13,80,0.229203
4-15,90,0.161944
1-12,70,0.559994
2-7,56,1.29889
2-12,77,0.418477
1-9,88,0.490971
2-18,56,0.244387
1-18,72,0.191434
2-7,62,1.00728
2-12,79,0.382418
2-18,18,0.470293
1-9,70,0.678279
1-11,2,0
2-14,25,1.12505
4-10,29,0.466775
1-8,70,0.673952
2-8,94,0.345735
1-14,84,0.303889
2-6,78,0.912744
2-8,48,0.993577
1-14,50,0.547868
2-6,80,0.873733
2-8,93,0.388109
1-14,85,0.236876
2-6,79,0.875311
4-20,54,0.00935536
2-5,77,1.17963
1-4,70,1.64131
1-2,70,1.95161
1-1,70,2.22969
3-3,26,2.3566
3-17,7,0
3-19,83,0.0166806
3-16,81,0.0676889
4-7,46,0.746178
3-15,77,0.217776
4-7,44,0.887579
3-15,79,0.233338
3-13,82,0.140794
3-6,78,0.83709
3-14,68,0.298011
2-19,51,0.099111
3-6,83,0.774798
4-16,82,0.0336723
3-12,92,0.234908
4-14,79,0.0753531
4-13,81,0.0821269
4-13,79,0.08663
3-15,46,0.638201
4-7,79,0.662952
4-1,80,1.73839
2-20,77,0.0432345
2-20,72,0.0395527
1-19,69,0.0627528
1-9,15,1.50038
2-18,75,0.195688
2-15,80,0.234257
2-14,79,0.24954
1-13,69,0.351919
2-13,78,0.241028
2-13,77,0.246782
2-13,71,0.266108
4-15,91,0.0887815
1-12,69,0.586044
2-18,13,0
1-9,69,0.669315
1-11,1,0
2-14,26,0.923876
4-10,26,0.649277
1-8,69,0.773685
2-7,75,0.850624
2-7,79,0.812298
1-14,91,0.226718
2-8,71,0.603534
2-6,73,0.928074
1-14,86,0.220162
2-8,92,0.38549
2-6,76,0.914959
4-20,52,0.00737086
2-5,79,1.22117
1-4,69,1.59727
1-2,69,2.07273
1-1,69,2.28728
3-17,4,0
3-3,27,2.02176
3-19,82,0.0157787
3-16,80,0.0660917
4-7,47,0.757857
3-15,78,0.22699
3-13,75,0.169302
3-19,6,0
3-17,72,0.0476558
3-3,79,1.28311
4-16,81,0.0410671
4-16,75,0.0501535
3-12,94,0.224788
4-6,82,0.4948
4-14,77,0.0647365
3-12,64,0.431313
4-14,83,0.0940346
4-9,83,0.270399
3-15,52,0.502376
4-7,81,0.528785
3-15,55,0.34355
4-7,84,0.507013
2-16,7,0
4-3,80,1.07357
4-3,78,1.07227
4-1,82,1.65546
1-19,68,0.0616775
1-9,14,1.3944
2-18,74,0.188561
2-15,79,0.241846
2-15,77,0.23653
2-15,76,0.23953
2-14,78,0.252799
4-14,44,0.129686
4-6,51,0.850403
1-20,72,0.069428
2-14,77,0.254733
1-13,68,0.305218
2-13,79,0.227616
4-15,92,0.142023
1-12,68,0.57366
2-18,12,0
1-9,68,0.790882
4-10,27,0.504879
2-14,27,1.40896
1-8,68,0.781932
1-4,68,1.5543
1-2,68,2.20733
1-1,68,2.60182
3-16,79,0.0657912
3-9,77,0.484271
3-1,58,2.41187
3-7,78,0.709884
4-13,78,0.0628363
3-15,32,0.81433
4-7,77,0.499186
4-5,79,1.02669
4-5,77,1.10869
4-5,80,1.04391
4-3,77,1.14754
2-16,2,0
4-3,85,0.98245
4-1,81,1.64904
4-1,78,1.73588
4-1,77,1.66291
2-20,76,0.0523387
2-20,75,0.0603282
1-19,67,0.0525061
1-9,9,2.0106
2-18,73,0.19381
2-15,74,0.266246
2-14,71,0.270448
1-13,67,0.325984
2-13,70,0.274569
4-15,93,0.0389446
1-12,67,0.633069
2-7,58,1.12979
2-12,75,0.400527
4-17,81,0.0209914
3-18,10,0
2-11,72,0.463344
2-19,57,0.0775225
3-14,78,0.147803
1-1,31,3.40854
1-10,67,0.613213
2-18,23,0.451043
1-9,67,0.731157
1-11,7,0
2-14,28,0.859951
1-8,67,0.759494
2-7,69,0.91118
2-7,80,0.801667
1-4,67,1.57982
1-1,67,2.3446
3-3,2,0
3-17,15,0
3-19,75,0.0243988
3-16,78,0.0847629
4-7,40,0.940098
3-15,75,0.229116
3-13,77,0.168569
3-6,77,0.769356
3-19,7,0
3-17,75,0.0379424
3-3,78,1.31064
4-16,79,0.0310228
3-12,66,0.446507
4-14,81,0.0642318
3-12,95,0.191977
4-6,83,0.670041
4-14,76,0.0671902
4-13,76,0.0622172
4-12,84,0.239725
4-12,79,0.221717
1-11,84,0.464938
1-8,48,1.10427
4-16,50,0.0592754
4-10,79,0.231958
3-15,51,0.480909
4-7,80,0.532301
3-15,45,0.706137
4-7,78,0.4962
4-5,76,1.11109
4-5,78,1.169
4-14,42,0.153101
1-20,66,0.398694
2-20,74,0.0427965
1-19,66,0.0683257
1-9,8,0
2-18,72,0.195514
2-14,75,0.264353
2-14,74,0.270795
4-14,47,0.124046
1-20,73,0.0820766
2-14,76,0.262864
1-13,66,0.445986
4-15,94,0.0439553
1-12,66,0.617801
2-18,22,0.436955
1-9,66,0.774687
1-11,6,0
4-10,1,0
2-14,29,1.30849
1-8,66,0.762523
2-7,70,0.990135
2-7,77,0.831067
2-7,74,0.877786
1-14,93,0.163335
2-8,69,0.629105
2-6,71,0.993698
1-14,88,0.243524
2-8,90,0.430131
2-6,74,1.01818
1-14,89,0.259637
2-8,89,0.429704
2-6,75,0.996684
1-14,87,0.247622
2-8,91,0.397539
2-6,77,0.885327
4-20,55,0.0252225
2-5,76,1.23873
1-4,66,1.65865
1-2,66,2.19549
1-1,66,2.59519
3-3,3,4.48587
3-17,12,0
3-19,74,0.0176776
3-3,6,3.66343
3-17,3,0
3-19,79,0.0186437
3-16,77,0.0825877
4-7,41,0.754782
3-15,76,0.202597
